"Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Survey","Frass.mass..mg.","Frass.number","Notes"
"Botanical Garden","7/1/2016",08:37:00,"7/6/2016",10:36:00,"1B",0.9,5,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",09:15:00,"7/6/2016",09:41:00,"4E",0.7,4,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",09:04:00,"7/6/2016",09:59:00,"3A",2.8,20,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",08:51:00,"7/6/2016",10:14:00,"2B",NA,NA,"filter paper wet due to rain; dried for 3 hours under lamp; hole in bottom, completely empty (unusable)"
"Botanical Garden","7/1/2016",08:55:00,"7/6/2016",10:20:00,"2C",8.2,22,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",09:26:00,"7/6/2016",09:23:00,"5A",0.3,2,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",09:31:00,"7/6/2016",09:27:00,"5D",3.6,6,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",NA,"7/6/2016",NA,"6D",NA,NA,"found funnel upside down on the ground and paper torn up next to it; discarded"
"Botanical Garden","7/6/2016",08:40:00,"7/8/2016",10:35:00,"8E",27.2,18,"two large cylindrical frass"
"Botanical Garden","7/6/2016",09:47:00,"7/8/2016",09:22:00,"4D",0.8,3,NA
"Botanical Garden","7/6/2016",10:32:00,"7/8/2016",08:30:00,"1C",3.8,13,NA
"Botanical Garden","7/6/2016",08:36:00,"7/8/2016",10:31:00,"8C",1.8,9,NA
"Botanical Garden","7/6/2016",09:01:00,"7/8/2016",10:20:00,"7B",8.8,15,NA
"Botanical Garden","7/6/2016",10:22:00,"7/8/2016",08:51:00,"2E?",7,37,"live 5 mm beetle in trap;"
"Botanical Garden","7/6/2016",09:12:00,"7/8/2016",10:00:00,"6D",1.7,11,NA
"Botanical Garden","7/6/2016",10:05:00,"7/8/2016",09:07:00,"3E",3.1,18,NA
"Botanical Garden","7/6/2016",08:54:00,"7/8/2016",10:16:00,"7A",12.1,33,NA
"Botanical Garden","7/6/2016",09:43:00,"7/8/2016",09:18:00,"4E",0.8,4,NA
"Botanical Garden","7/6/2016",09:25:00,"7/8/2016",09:43:00,"5A",5.8,8,NA
"Botanical Garden","7/6/2016",10:16:00,"7/8/2016",08:47:00,"2B",2.1,10,NA
"Botanical Garden","7/6/2016",10:38:00,"7/8/2016",08:39:00,"1B",8.9,12,NA
"Botanical Garden","7/6/2016",09:29:00,"7/8/2016",09:39:00,"5D",3.2,7,NA
"Botanical Garden","7/6/2016",10:01:00,"7/8/2016",09:03:00,"3A",4.1,21,NA
"Botanical Garden","7/6/2016",NA,"7/8/2016",NA,"6C",NA,NA,"trap tipped and filter paper ripped on on the ground nearby (second time this has happened)... raccoon?"
"Botanical Garden","7/8/2016",09:57:00,"7/12/2016",08:24:00,"6C",3.2,12,"traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",09:20:00,"7/12/2016",08:30:00,"4E",3.3,7,"traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",10:22:00,"7/12/2016",08:18:00,"7B",8.6,11,"traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",08:32:00,"7/12/2016",08:38:00,"1C",9.6,15,"one long frass; trap tilted at 70 degrees, aabout one third of trap area covered by trap folding inward; traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",08:49:00,"7/12/2016",02:35:00,"2B",5.3,12,"traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",10:18:00,"7/12/2016",08:19:00,"7A",8.5,59,"traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",10:33:00,"7/12/2016",08:22:00,"8C",8.2,12,"there is a hole in the bottom; traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",10:02:00,"7/12/2016",08:24:00,"6D",16.5,4,"one large cylindrical frass; traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",08:52:00,"7/12/2016",08:35:00,"2C",6.7,30,"traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",10:37:00,"7/12/2016",08:21:00,"8E",1.3,10,"lots of fuzz in the middle; traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",08:36:00,"7/12/2016",08:37:00,"1B",7.2,10,"traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",09:05:00,"7/12/2016",08:30:00,"3A",17.9,8,"2 large cylindrical frass; hole in the bottom; traps slightly damp, dried for 30 min under lamp"
"Botanical Garden","7/8/2016",NA,"7/12/2016",NA,"3E",NA,NA,"on ground next to trap (unusable)"
"Botanical Garden","7/8/2016",NA,"7/12/2016",NA,"4D",NA,NA,"on ground next to trap (unusable)"
"Botanical Garden","7/8/2016",NA,"7/12/2016",NA,"5A",NA,NA,"on ground next to trap (unusable)"
"Botanical Garden","7/8/2016",NA,"7/12/2016",NA,"5D",NA,NA,"on ground next to trap (unusable)"
"Botanical Garden","7/15/2016",09:27:00,"7/19/2016",08:56:00,"3E",4.8,8,"rained a lot over the weekend; lots of fluff in the center. edges of trap slightly folded over outer rim"
"Botanical Garden","7/15/2016",09:49:00,"7/19/2016",08:25:00,"1B",2.6,6,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",09:14:00,"7/19/2016",09:02:00,"4D",9.6,10,"rained a lot over the weekend; lots of fluff in the center. half of trap completely folded in."
"Botanical Garden","7/15/2016",08:32:00,"7/19/2016",10:00:00,"8D",9,17,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",08:44:00,"7/19/2016",09:45:00,"7A",13.4,68,"rained a lot over the weekend"
"Botanical Garden","7/15/2016",09:40:00,"7/19/2016",08:39:00,"2C",10.6,37,"rained a lot over the weekend; small hole near the center; outer edges slightly folded over"
"Botanical Garden","7/15/2016",09:12:00,"7/19/2016",09:00:00,"4E",5.5,9,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",09:24:00,"7/19/2016",08:56:00,"3A",3.6,14,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",09:45:00,"7/19/2016",08:19:00,"1C",3.5,9,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",08:46:00,"7/19/2016",09:49:00,"7B",1.6,8,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",09:05:00,"7/19/2016",09:17:00,"5D",0,0,"lots of fluff in the middle that probably contained frass"
"Botanical Garden","7/15/2016",08:54:00,"7/19/2016",09:35:00,"6C",1.2,5,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",09:36:00,"7/19/2016",08:36:00,"2B",2.9,3,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",08:28:00,"7/19/2016",09:57:00,"8E",5.3,14,"rained a lot over the weekend; lots of fluff in the center."
"Botanical Garden","7/15/2016",NA,"7/19/2016",NA,"5A",NA,NA,"frass trap overturned, filter paper torn up. unusable"
"Botanical Garden","7/15/2016",NA,"7/19/2016",NA,"6D",NA,NA,"frass trap overturned, filter paper torn up. unusable"
"Botanical Garden","7/19/2016",09:37:00,"7/22/2016",08:40:00,"6D",8.6,13,NA
"Botanical Garden","7/19/2016",09:00:00,"7/22/2016",09:01:00,"4E",8.1,7,NA
"Botanical Garden","7/19/2016",08:57:00,"7/22/2016",09:09:00,"3E",3.8,12,NA
"Botanical Garden","7/19/2016",08:38:00,"7/22/2016",09:19:00,"2B",5.4,13,NA
"Botanical Garden","7/19/2016",08:21:00,"7/22/2016",09:25:00,"1C",7.7,15,NA
"Botanical Garden","7/19/2016",09:45:00,"7/22/2016",08:30:00,"7B",5.4,22,NA
"Botanical Garden","7/19/2016",09:20:00,"7/22/2016",08:51:00,"5D",5.3,11,NA
"Botanical Garden","7/19/2016",09:58:00,"7/22/2016",08:20:00,"8C",15.6,13,"1 large cylindrical frass"
"Botanical Garden","7/19/2016",10:02:00,"7/22/2016",08:19:00,"8D",6.5,6,NA
"Botanical Garden","7/19/2016",09:35:00,"7/22/2016",08:39:00,"6C",11.7,11,"1 large cylindrical frass"
"Botanical Garden","7/19/2016",09:47:00,"7/22/2016",08:29:00,"7A",12.7,34,NA
"Botanical Garden","7/19/2016",09:16:00,"7/22/2016",08:48:00,"5A",4.9,9,"tilted at a 45 degree angle"
"Botanical Garden","7/19/2016",09:04:00,"7/22/2016",09:00:00,"4D",4.3,5,NA
"Botanical Garden","7/19/2016",08:52:00,"7/22/2016",09:06:00,"3A",2.9,17,NA
"Botanical Garden","7/19/2016",08:41:00,"7/22/2016",09:14:00,"2C",13.7,31,NA
"Botanical Garden","7/19/2016",08:24:00,"7/22/2016",09:24:00,"1B",4.9,14,NA
"Botanical Garden","5/15/2017",11:33:00,"5/18/2017",08:35:00,"1C",2.1,9,NA
"Botanical Garden","5/15/2017",10:59:00,"5/18/2017",09:11:00,"3E",2.5,4,NA
"Botanical Garden","5/15/2017",10:32:00,"5/18/2017",09:35:00,"5A",0.5,3,NA
"Botanical Garden","5/15/2017",11:30:00,"5/18/2017",08:38:00,"1B",2.8,5,NA
"Botanical Garden","5/15/2017",10:41:00,"5/18/2017",09:22:00,"4E",0.4,1,NA
"Botanical Garden","5/15/2017",09:39:00,"5/18/2017",10:20:00,"8E",1.9,5,NA
"Botanical Garden","5/15/2017",09:48:00,"5/18/2017",10:15:00,"8C",0.1,3,NA
"Botanical Garden","5/15/2017",10:10:00,"5/18/2017",09:51:00,"6C",7.8,4,NA
"Botanical Garden","5/15/2017",10:47:00,"5/18/2017",09:25:00,"4D",0.7,5,NA
"Botanical Garden","5/15/2017",11:18:00,"5/18/2017",08:53:00,"2B",0.1,2,NA
"Botanical Garden","5/15/2017",11:02:00,"5/18/2017",09:07:00,"3A",2.2,6,NA
"Botanical Garden","5/15/2017",11:14:00,"5/18/2017",08:58:00,"2C",0.6,1,NA
"Botanical Garden","5/15/2017",10:02:00,"5/18/2017",10:05:00,"7C",1.1,6,NA
"Botanical Garden","5/15/2017",10:26:00,"5/18/2017",09:38:00,"5D",1.2,4,NA
"Botanical Garden","5/15/2017",10:16:00,"5/18/2017",09:54:00,"6D",1.4,3,NA
"Botanical Garden","5/15/2017",10:04:00,"5/18/2017",10:03:00,"7B",1.7,7,NA
"Botanical Garden","5/18/2017",10:05:00,"5/22/2017",09:41:00,"7B",0.1,3,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",10:17:00,"5/22/2017",09:30:00,"8C",0.8,3,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",09:37:00,"5/22/2017",10:06:00,"5A",1.2,3,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",09:53:00,"5/22/2017",09:52:00,"6C",0.7,5,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",09:40:00,"5/22/2017",10:07:00,"5D",2.5,4,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",10:07:00,"5/22/2017",09:40:00,"7C",2.9,5,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",09:10:00,"5/22/2017",10:33:00,"3A",0.1,1,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",09:56:00,"5/22/2017",09:54:00,"6D",5.5,6,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight, was tipped over in storm"
"Botanical Garden","5/18/2017",09:13:00,"5/22/2017",10:34:00,"3E",0.5,1,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",09:24:00,"5/22/2017",10:20:00,"4E",3.3,5,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",09:26:00,"5/22/2017",10:19:00,"4D",1,5,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",09:00:00,"5/22/2017",10:52:00,"2C",0.9,3,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",08:40:00,"5/22/2017",11:08:00,"1B",0.1,2,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",08:56:00,"5/22/2017",10:51:00,"2B",2,4,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",08:37:00,"5/22/2017",11:07:00,"1C",2.3,3,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/18/2017",10:23:00,"5/22/2017",09:31:00,"8E",1,3,"Filter paper wet from rain; dried under lamps for 5 hrs and waited overnight"
"Botanical Garden","5/25/2017",10:10:00,"5/29/2017",10:19:00,"8D",4.2,5,NA
"Botanical Garden","5/25/2017",09:59:00,"5/29/2017",09:58:00,"7B",1.5,4,NA
"Botanical Garden","5/25/2017",08:50:00,"5/29/2017",08:47:00,"2C",3.1,5,NA
"Botanical Garden","5/25/2017",09:17:00,"5/29/2017",09:17:00,"4D",0.8,2,NA
"Botanical Garden","5/25/2017",09:27:00,"5/29/2017",09:29:00,"5A",2.6,7,NA
"Botanical Garden","5/25/2017",09:02:00,"5/29/2017",09:03:00,"3E",1.3,4,NA
"Botanical Garden","5/25/2017",09:16:00,"5/29/2017",09:15:00,"4E",16.6,5,NA
"Botanical Garden","5/25/2017",08:48:00,"5/29/2017",08:45:00,"1B",1.1,4,NA
"Botanical Garden","5/25/2017",08:35:00,"5/29/2017",08:30:00,"1C",1,4,NA
"Botanical Garden","5/25/2017",09:29:00,"5/29/2017",09:31:00,"5D",1.9,4,NA
"Botanical Garden","5/25/2017",09:44:00,"5/29/2017",09:45:00,"6D",2.9,4,"Filter paper had a line of tears/holes measuring the length of the radius of the circle starting from the center point"
"Botanical Garden","5/25/2017",09:42:00,"5/29/2017",09:43:00,"6C",7.8,3,NA
"Botanical Garden","5/25/2017",10:08:00,"5/29/2017",10:15:00,"8C",5.2,5,NA
"Botanical Garden","5/29/2017",08:47:00,"6/1/2017",10:10:00,"2B",1.4,3,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",08:32:00,"6/1/2017",10:26:00,"1C",4.1,5,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",08:34:00,"6/1/2017",10:32:00,"1B",2.4,5,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:02:00,"6/1/2017",09:53:00,"3A",0,0,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:05:00,"6/1/2017",09:55:00,"3E",0.3,3,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",08:48:00,"6/1/2017",10:13:00,"2C",1.5,5,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:16:00,"6/1/2017",09:42:00,"4E",0.1,3,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",10:18:00,"6/1/2017",08:46:00,"8C",1.9,6,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:18:00,"6/1/2017",09:45:00,"4D",0.8,7,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:46:00,"6/1/2017",09:18:00,"6D",4.5,10,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",10:20:00,"6/1/2017",08:48:00,"8D",1.8,3,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:59:00,"6/1/2017",09:07:00,"7B",0.3,7,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:32:00,"6/1/2017",09:30:00,"5D",3.2,2,"Filter paper damp, put under lamps for 1 hour; One piece of frass made up all of the measurable mass, the other contributed a trace amount to the mass"
"Botanical Garden","5/29/2017",09:30:00,"6/1/2017",09:27:00,"5A",2.9,5,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:56:00,"6/1/2017",09:05:00,"7C",0.1,7,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","5/29/2017",09:43:00,"6/1/2017",09:16:00,"6C",1.9,9,"Filter paper damp, put under lamps for 1 hour"
"Botanical Garden","6/1/2017",09:18:00,"6/5/2017",09:17:00,"6D",2.1,2,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:31:00,"6/5/2017",09:17:00,"5D",0.7,3,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:09:00,"6/5/2017",09:12:00,"7C",2.2,5,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:56:00,"6/5/2017",09:27:00,"3E",0.4,2,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:43:00,"6/5/2017",09:22:00,"4E",1.4,4,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:54:00,"6/5/2017",09:26:00,"3A",1.2,4,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",10:11:00,"6/5/2017",09:23:00,"2B",3,3,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:17:00,"6/5/2017",09:16:00,"6C",0.2,2,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",10:27:00,"6/5/2017",09:27:00,"1C",6,12,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",10:14:00,"6/5/2017",09:24:00,"2C",3.1,6,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",08:48:00,"6/5/2017",09:12:00,"8D",8.2,8,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:10:00,"6/5/2017",09:13:00,"7B",2.2,2,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:46:00,"6/5/2017",09:22:00,"4D",0.2,3,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",09:28:00,"6/5/2017",09:16:00,"5A",0.6,2,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",08:46:00,"6/5/2017",09:11:00,"8C",3.1,3,"Filter paper wet, put under lamps for 4.5 hours"
"Botanical Garden","6/1/2017",NA,"6/5/2017",NA,"1B",NA,NA,"filter paper was out of the funnel"
"Botanical Garden","6/8/2017",09:29:00,"6/12/2017",08:58:00,"6C",2.6,6,NA
"Botanical Garden","6/8/2017",09:32:00,"6/12/2017",09:00:00,"6D",5.7,23,NA
"Botanical Garden","6/8/2017",09:22:00,"6/12/2017",09:20:00,"5D",0.9,4,NA
"Botanical Garden","6/8/2017",09:06:00,"6/12/2017",09:42:00,"4E",3.5,8,NA
"Botanical Garden","6/8/2017",08:45:00,"6/12/2017",10:22:00,"2B",9.7,10,NA
"Botanical Garden","6/8/2017",09:16:00,"6/12/2017",09:15:00,"4E",8.4,19,NA
"Botanical Garden","6/8/2017",08:36:00,"6/12/2017",10:41:00,"1C",3.7,25,NA
"Botanical Garden","6/8/2017",09:53:00,"6/12/2017",08:20:00,"8D",7.7,8,NA
"Botanical Garden","6/8/2017",08:41:00,"6/12/2017",10:43:00,"1B",17.6,15,NA
"Botanical Garden","6/8/2017",08:57:00,"6/12/2017",09:58:00,"3A",6.2,14,NA
"Botanical Garden","6/8/2017",09:09:00,"6/12/2017",09:44:00,"4D",2.1,11,NA
"Botanical Garden","6/8/2017",09:46:00,"6/12/2017",08:34:00,"7C",6.8,18,NA
"Botanical Garden","6/8/2017",09:48:00,"6/12/2017",08:36:00,"7B",3.1,11,NA
"Botanical Garden","6/8/2017",NA,"6/12/2017",NA,"8C",NA,NA,"no filter paper had been put out"
"Botanical Garden","6/8/2017",NA,"6/12/2017",NA,"5A",NA,NA,"filter paper was out of the funnel"
"Botanical Garden","6/8/2017",NA,"6/12/2017",NA,"3E",NA,NA,"filter paper was out of the funnel"
"Botanical Garden","6/12/2017",10:42:00,"6/15/2017",08:26:00,"1C",3.9,19,NA
"Botanical Garden","6/12/2017",08:35:00,"6/15/2017",09:36:00,"7C",15.9,36,NA
"Botanical Garden","6/12/2017",10:44:00,"6/15/2017",08:28:00,"1B",7.8,12,NA
"Botanical Garden","6/12/2017",08:18:00,"6/15/2017",09:52:00,"8C",3.1,9,NA
"Botanical Garden","6/12/2017",10:23:00,"6/15/2017",08:40:00,"2B",5.2,3,"One long cylindrical frass"
"Botanical Garden","6/12/2017",10:02:00,"6/15/2017",08:54:00,"3E",19.1,6,"2 long cylindrical frass"
"Botanical Garden","6/12/2017",10:25:00,"6/15/2017",08:42:00,"2C",8.1,16,NA
"Botanical Garden","6/12/2017",09:01:00,"6/15/2017",09:28:00,"6D",159.2,52,NA
"Botanical Garden","6/12/2017",10:01:00,"6/15/2017",08:51:00,"3A",13.9,12,NA
"Botanical Garden","6/12/2017",09:43:00,"6/15/2017",09:05:00,"4E",4.2,10,NA
"Botanical Garden","6/12/2017",09:21:00,"6/15/2017",09:18:00,"5D",3.3,19,NA
"Botanical Garden","6/12/2017",09:45:00,"6/15/2017",09:07:00,"4D",1.2,4,NA
"Botanical Garden","6/12/2017",08:37:00,"6/15/2017",09:38:00,"7B",11.6,11,NA
"Botanical Garden","6/12/2017",08:21:00,"6/15/2017",09:54:00,"8D",14.4,8,NA
"Botanical Garden","6/12/2017",08:59:00,"6/15/2017",09:26:00,"6C",18.8,30,NA
"Botanical Garden","6/12/2017",09:18:00,"6/15/2017",09:16:00,"5A",78.1,25,"1 very large long frass"
"Botanical Garden","6/15/2017",08:52:00,"6/19/2017",09:33:00,"3A",1.5,9,"Filter paper wet, put under lamps for 4 hours; two 5 mm holes around center of filter paper"
"Botanical Garden","6/15/2017",09:53:00,"6/19/2017",08:29:00,"8C",4.8,11,"Filter paper wet, put under lamps for 4 hours; a lot of dark brown powdery material in filter paper, could be destroyed frass"
"Botanical Garden","6/15/2017",08:27:00,"6/19/2017",10:01:00,"1C",16,21,"Filter paper wet, put under lamps for 4 hours; one piece of frass appeared to be a mass of many smaller frass pieces, but is counted as one"
"Botanical Garden","6/15/2017",09:55:00,"6/19/2017",08:31:00,"8D",7,8,"Filter paper wet, put under lamps for 4 hours"
"Botanical Garden","6/15/2017",09:37:00,"6/19/2017",08:41:00,"7C",1.5,11,"Filter paper wet, put under lamps for 4 hours"
"Botanical Garden","6/15/2017",09:29:00,"6/19/2017",08:57:00,"6D",4.3,20,"Filter paper wet, put under lamps for 4 hours; edge folded over"
"Botanical Garden","6/15/2017",08:29:00,"6/19/2017",10:05:00,"1B",5.8,9,"Filter paper wet, put under lamps for 4 hours; edges torn and folded"
"Botanical Garden","6/15/2017",09:27:00,"6/19/2017",08:52:00,"6C",5.8,20,"Filter paper wet, put under lamps for 4 hours"
"Botanical Garden","6/15/2017",09:17:00,"6/19/2017",09:08:00,"5A",8.5,6,"Filter paper wet, put under lamps for 4 hours; edge folded over"
"Botanical Garden","6/15/2017",09:19:00,"6/19/2017",09:10:00,"5D",9.7,35,"Filter paper wet, put under lamps for 4 hours"
"Botanical Garden","6/15/2017",09:06:00,"6/19/2017",09:21:00,"4E",1.3,4,"Filter paper wet, put under lamps for 4 hours"
"Botanical Garden","6/15/2017",09:39:00,"6/19/2017",08:45:00,"7B",13.2,11,"Filter paper wet, put under lamps for 4 hours"
"Botanical Garden","6/15/2017",08:55:00,"6/19/2017",09:36:00,"3E",1.9,10,"Filter paper wet, put under lamps for 4 hours"
"Botanical Garden","6/15/2017",08:43:00,"6/19/2017",09:50:00,"2C",3.9,19,"Filter paper wet, put under lamps for 4 hours"
"Botanical Garden","6/15/2017",08:41:00,"6/19/2017",09:47:00,"2B",15.1,13,"Filter paper wet, put under lamps for 4 hours; small hole (2 mm) just outside center of paper"
"Botanical Garden","6/19/2017",09:51:00,"6/22/2017",08:44:00,"2C",1.7,4,"Filter paper damp, put under lamps for 2 hours; small hole just outside center of paper"
"Botanical Garden","6/19/2017",09:34:00,"6/22/2017",08:53:00,"3A",2,17,"Filter paper damp, put under lamps for 2 hours; edges folded"
"Botanical Garden","6/19/2017",09:37:00,"6/22/2017",08:55:00,"3E",2.5,16,"Filter paper damp, put under lamps for 2 hours; edges torn"
"Botanical Garden","6/19/2017",09:25:00,"6/22/2017",09:06:00,"4D",1.1,9,"Filter paper damp, put under lamps for 2 hours; edges torn"
"Botanical Garden","6/19/2017",09:22:00,"6/22/2017",09:03:00,"4E",2.1,8,"Filter paper damp, put under lamps for 2 hours; edges torn"
"Botanical Garden","6/19/2017",09:09:00,"6/22/2017",09:20:00,"5A",2,8,"Filter paper damp, put under lamps for 2 hours"
"Botanical Garden","6/19/2017",09:48:00,"6/22/2017",08:42:00,"2B",1.5,9,"Filter paper damp, put under lamps for 2 hours; edges folded over; small hole in center of paper"
"Botanical Garden","6/19/2017",08:53:00,"6/22/2017",09:33:00,"6C",1.8,7,"Filter paper damp, put under lamps for 2 hours; edges folded; small hole just outside center of paper"
"Botanical Garden","6/19/2017",09:11:00,"6/22/2017",09:22:00,"5D",5.2,8,"Filter paper damp, put under lamps for 2 hours; edges torn"
"Botanical Garden","6/19/2017",08:42:00,"6/22/2017",09:48:00,"7C",8.2,13,"Filter paper damp, put under lamps for 2 hours; edges torn; small hole just outside center of paper"
"Botanical Garden","6/19/2017",08:59:00,"6/22/2017",09:35:00,"6D",8.9,17,"Filter paper damp, put under lamps for 2 hours"
"Botanical Garden","6/19/2017",08:30:00,"6/22/2017",10:03:00,"8C",4,8,"Filter paper damp, put under lamps for 2 hours"
"Botanical Garden","6/19/2017",08:46:00,"6/22/2017",09:50:00,"7B",1.9,9,"Filter paper damp, put under lamps for 2 hours; edges torn; small hole just outside center of paper"
"Botanical Garden","6/19/2017",08:32:00,"6/22/2017",10:08:00,"8D",14.6,12,"Filter paper damp, put under lamps for 2 hours; one large frass probably made up most of the mass"
"Botanical Garden","6/22/2017",10:09:00,"6/26/2017",08:23:00,"8D",15.5,15,NA
"Botanical Garden","6/22/2017",10:04:00,"6/26/2017",08:20:00,"8C",9.5,18,NA
"Botanical Garden","6/22/2017",08:43:00,"6/26/2017",10:00:00,"2B",8.3,30,NA
"Botanical Garden","6/22/2017",08:54:00,"6/26/2017",09:47:00,"3A",7.7,25,"edges folded over"
"Botanical Garden","6/22/2017",08:56:00,"6/26/2017",09:49:00,"3E",8,17,NA
"Botanical Garden","6/22/2017",09:07:00,"6/26/2017",09:33:00,"4D",11.8,17,"edges folded over"
"Botanical Garden","6/22/2017",08:45:00,"6/26/2017",10:02:00,"2C",8.2,13,NA
"Botanical Garden","6/22/2017",08:33:00,"6/26/2017",10:22:00,"1B",12.9,28,NA
"Botanical Garden","6/22/2017",09:21:00,"6/26/2017",09:13:00,"5A",13.7,14,NA
"Botanical Garden","6/22/2017",08:30:00,"6/26/2017",10:19:00,"1C",14.5,22,NA
"Botanical Garden","6/22/2017",09:34:00,"6/26/2017",08:55:00,"6C",18.2,31,NA
"Botanical Garden","6/22/2017",09:23:00,"6/26/2017",09:15:00,"5D",9.8,15,NA
"Botanical Garden","6/22/2017",09:51:00,"6/26/2017",08:37:00,"7B",4.9,14,NA
